,date,close_val,change_val,open_val,high_val,low_val,acc_quant,change_rate
0,2015-12-28,641000.0,-6000.0,647000.0,650000.0,638000.0,47511.0,-0.93603744149766
1,2015-12-29,642000.0,1000.0,649000.0,649000.0,631000.0,50648.0,0.1557632398753894
2,2015-12-30,658000.0,16000.0,642000.0,668000.0,639000.0,64215.0,2.43161094224924
3,2016-01-04,632000.0,-26000.0,650000.0,658000.0,632000.0,93272.0,-4.113924050632911
4,2016-01-05,637000.0,5000.0,633000.0,642000.0,631000.0,69456.0,0.7849293563579277
5,2016-01-06,623000.0,-14000.0,645000.0,645000.0,622000.0,95682.0,-2.247191011235955
6,2016-01-07,652000.0,29000.0,626000.0,660000.0,626000.0,125253.0,4.447852760736196
7,2016-01-08,652000.0,0.0,652000.0,659000.0,642000.0,63922.0,0.0
8,2016-01-11,628000.0,-24000.0,645000.0,651000.0,626000.0,88620.0,-3.821656050955414
9,2016-01-12,650000.0,22000.0,636000.0,654000.0,632000.0,78010.0,3.3846153846153846
10,2016-01-13,649000.0,-1000.0,656000.0,657000.0,643000.0,92220.0,-0.15408320493066258
11,2016-01-14,651000.0,2000.0,642000.0,659000.0,640000.0,85824.0,0.30721966205837176
12,2016-01-15,670000.0,19000.0,662000.0,673000.0,658000.0,128415.0,2.8358208955223883
13,2016-01-18,687000.0,17000.0,663000.0,687000.0,663000.0,140601.0,2.4745269286754
14,2016-01-19,670000.0,-17000.0,683000.0,684000.0,664000.0,144586.0,-2.5373134328358207
15,2016-01-20,664000.0,-6000.0,670000.0,673000.0,651000.0,95351.0,-0.9036144578313252
16,2016-01-21,639000.0,-25000.0,656000.0,657000.0,631000.0,135186.0,-3.912363067292645
17,2016-01-22,668000.0,29000.0,650000.0,668000.0,640000.0,91200.0,4.341317365269461
18,2016-01-25,673000.0,5000.0,668000.0,677000.0,657000.0,61255.0,0.7429420505200593
19,2016-01-26,680000.0,7000.0,675000.0,681000.0,671000.0,56078.0,1.0294117647058822
20,2016-01-27,674000.0,-6000.0,687000.0,687000.0,666000.0,66471.0,-0.8902077151335311
21,2016-01-28,631000.0,-43000.0,642000.0,650000.0,621000.0,277566.0,-6.814580031695722
22,2016-01-29,628000.0,-3000.0,627000.0,631000.0,605000.0,269400.0,-0.47770700636942676
23,2016-02-01,613000.0,-15000.0,622000.0,629000.0,608000.0,144528.0,-2.4469820554649266
24,2016-02-02,600000.0,-13000.0,611000.0,618000.0,592000.0,223453.0,-2.166666666666667
25,2016-02-03,601000.0,1000.0,593000.0,606000.0,593000.0,94740.0,0.16638935108153077
26,2016-02-04,602000.0,1000.0,606000.0,607000.0,594000.0,87070.0,0.16611295681063123
27,2016-02-05,599000.0,-3000.0,600000.0,605000.0,596000.0,55313.0,-0.5008347245409015
28,2016-02-11,563000.0,-36000.0,589000.0,589000.0,563000.0,184341.0,-6.394316163410302
29,2016-02-12,556000.0,-7000.0,555000.0,566000.0,544000.0,198082.0,-1.2589928057553956
30,2016-02-15,556000.0,0.0,561000.0,567000.0,548000.0,146518.0,0.0
31,2016-02-16,575000.0,19000.0,553000.0,580000.0,553000.0,123943.0,3.304347826086956
32,2016-02-17,575000.0,0.0,578000.0,587000.0,574000.0,158463.0,0.0
33,2016-02-18,582000.0,7000.0,578000.0,588000.0,576000.0,83228.0,1.202749140893471
34,2016-02-19,573000.0,-9000.0,579000.0,582000.0,568000.0,76728.0,-1.5706806282722512
35,2016-02-22,565000.0,-8000.0,575000.0,581000.0,565000.0,86272.0,-1.415929203539823
36,2016-02-23,584000.0,19000.0,569000.0,587000.0,568000.0,111857.0,3.2534246575342465
37,2016-02-24,580000.0,-4000.0,583000.0,584000.0,572000.0,71221.0,-0.6896551724137931
38,2016-02-25,582000.0,2000.0,581000.0,589000.0,578000.0,57095.0,0.3436426116838488
39,2016-02-26,580000.0,-2000.0,581000.0,586000.0,575000.0,45972.0,-0.3448275862068966
40,2016-02-29,572000.0,-8000.0,580000.0,585000.0,570000.0,78709.0,-1.3986013986013985
41,2016-03-02,609000.0,37000.0,584000.0,612000.0,581000.0,119099.0,6.075533661740558
42,2016-03-03,610000.0,1000.0,615000.0,615000.0,602000.0,74873.0,0.16393442622950818
43,2016-03-04,613000.0,3000.0,615000.0,621000.0,604000.0,66116.0,0.48939641109298526
44,2016-03-07,599000.0,-14000.0,615000.0,619000.0,599000.0,75885.0,-2.337228714524207
45,2016-03-08,604000.0,5000.0,588000.0,612000.0,588000.0,49925.0,0.8278145695364238
46,2016-03-09,608000.0,4000.0,601000.0,610000.0,600000.0,37660.0,0.6578947368421052
