,date,close_val,change_val,open_val,high_val,low_val,acc_quant
0,2015-12-24,647000.0,6000.0,649000.0,654000.0,646000.0,32816.0
1,2015-12-28,641000.0,6000.0,647000.0,650000.0,638000.0,47511.0
2,2015-12-29,642000.0,1000.0,649000.0,649000.0,631000.0,50648.0
3,2015-12-30,658000.0,16000.0,642000.0,668000.0,639000.0,64215.0
4,2016-01-04,632000.0,26000.0,650000.0,658000.0,632000.0,93272.0
5,2016-01-05,637000.0,5000.0,633000.0,642000.0,631000.0,69456.0
6,2016-01-06,623000.0,14000.0,645000.0,645000.0,622000.0,95682.0
7,2016-01-07,652000.0,29000.0,626000.0,660000.0,626000.0,125253.0
8,2016-01-08,652000.0,0.0,652000.0,659000.0,642000.0,63922.0
9,2016-01-11,628000.0,24000.0,645000.0,651000.0,626000.0,88620.0
10,2016-01-12,650000.0,22000.0,636000.0,654000.0,632000.0,78010.0
11,2016-01-13,649000.0,1000.0,656000.0,657000.0,643000.0,92220.0
12,2016-01-14,651000.0,2000.0,642000.0,659000.0,640000.0,85824.0
13,2016-01-15,670000.0,19000.0,662000.0,673000.0,658000.0,128415.0
14,2016-01-18,687000.0,17000.0,663000.0,687000.0,663000.0,140601.0
15,2016-01-19,670000.0,17000.0,683000.0,684000.0,664000.0,144586.0
16,2016-01-20,664000.0,6000.0,670000.0,673000.0,651000.0,95351.0
17,2016-01-21,639000.0,25000.0,656000.0,657000.0,631000.0,135186.0
18,2016-01-22,668000.0,29000.0,650000.0,668000.0,640000.0,91200.0
19,2016-01-25,673000.0,5000.0,668000.0,677000.0,657000.0,61255.0
20,2016-01-26,680000.0,7000.0,675000.0,681000.0,671000.0,56078.0
21,2016-01-27,674000.0,6000.0,687000.0,687000.0,666000.0,66471.0
22,2016-01-28,631000.0,43000.0,642000.0,650000.0,621000.0,277566.0
23,2016-01-29,628000.0,3000.0,627000.0,631000.0,605000.0,269400.0
24,2016-02-01,613000.0,15000.0,622000.0,629000.0,608000.0,144528.0
25,2016-02-02,600000.0,13000.0,611000.0,618000.0,592000.0,223453.0
26,2016-02-03,601000.0,1000.0,593000.0,606000.0,593000.0,94740.0
27,2016-02-04,602000.0,1000.0,606000.0,607000.0,594000.0,87070.0
28,2016-02-05,599000.0,3000.0,600000.0,605000.0,596000.0,55313.0
29,2016-02-11,563000.0,36000.0,589000.0,589000.0,563000.0,184341.0
30,2016-02-12,556000.0,7000.0,555000.0,566000.0,544000.0,198082.0
31,2016-02-15,556000.0,0.0,561000.0,567000.0,548000.0,146518.0
32,2016-02-16,575000.0,19000.0,553000.0,580000.0,553000.0,123943.0
33,2016-02-17,575000.0,0.0,578000.0,587000.0,574000.0,158463.0
34,2016-02-18,582000.0,7000.0,578000.0,588000.0,576000.0,83228.0
35,2016-02-19,573000.0,9000.0,579000.0,582000.0,568000.0,76728.0
36,2016-02-22,565000.0,8000.0,575000.0,581000.0,565000.0,86272.0
37,2016-02-23,584000.0,19000.0,569000.0,587000.0,568000.0,111857.0
38,2016-02-24,580000.0,4000.0,583000.0,584000.0,572000.0,71221.0
39,2016-02-25,582000.0,2000.0,581000.0,589000.0,578000.0,57095.0
40,2016-02-26,580000.0,2000.0,581000.0,586000.0,575000.0,45972.0
41,2016-02-29,572000.0,8000.0,580000.0,585000.0,570000.0,78709.0
42,2016-03-02,609000.0,37000.0,584000.0,612000.0,581000.0,119099.0
43,2016-03-03,610000.0,1000.0,615000.0,615000.0,602000.0,74873.0
44,2016-03-04,613000.0,3000.0,615000.0,621000.0,604000.0,66116.0
45,2016-03-07,599000.0,14000.0,615000.0,619000.0,599000.0,75885.0
46,2016-03-08,604000.0,5000.0,588000.0,612000.0,588000.0,49925.0
47,2016-03-09,608000.0,4000.0,601000.0,610000.0,600000.0,37660.0
48,2016-03-10,635000.0,27000.0,608000.0,644000.0,602000.0,136851.0
49,2016-03-11,636000.0,1000.0,638000.0,649000.0,631000.0,108114.0
50,2016-03-14,635000.0,1000.0,641000.0,642000.0,625000.0,52825.0
51,2016-03-15,641000.0,6000.0,635000.0,648000.0,632000.0,51664.0
52,2016-03-16,640000.0,1000.0,644000.0,647000.0,635000.0,41993.0
53,2016-03-17,636000.0,4000.0,649000.0,649000.0,630000.0,79516.0
54,2016-03-18,639000.0,3000.0,633000.0,642000.0,630000.0,59518.0
55,2016-03-21,642000.0,3000.0,634000.0,648000.0,633000.0,63761.0
56,2016-03-22,649000.0,7000.0,641000.0,654000.0,639000.0,99260.0
57,2016-03-23,634000.0,15000.0,650000.0,652000.0,627000.0,94009.0
58,2016-03-24,624000.0,10000.0,638000.0,642000.0,621000.0,73071.0
59,2016-03-25,613000.0,11000.0,624000.0,629000.0,611000.0,104353.0
60,2016-03-28,617000.0,4000.0,616000.0,628000.0,615000.0,54766.0
61,2016-03-29,640000.0,23000.0,617000.0,640000.0,616000.0,71050.0
62,2016-03-30,637000.0,3000.0,649000.0,649000.0,632000.0,89180.0
63,2016-03-31,637000.0,0.0,645000.0,646000.0,633000.0,107783.0
64,2016-04-01,628000.0,9000.0,645000.0,645000.0,624000.0,62556.0
65,2016-04-04,651000.0,23000.0,632000.0,651000.0,632000.0,108339.0
66,2016-04-05,652000.0,1000.0,650000.0,653000.0,648000.0,92265.0
67,2016-04-06,649000.0,3000.0,645000.0,651000.0,642000.0,84628.0
68,2016-04-07,675000.0,26000.0,651000.0,677000.0,649000.0,141392.0
69,2016-04-08,663000.0,12000.0,667000.0,670000.0,660000.0,72693.0
70,2016-04-11,664000.0,1000.0,663000.0,670000.0,656000.0,59360.0
71,2016-04-12,670000.0,6000.0,666000.0,672000.0,660000.0,55658.0
72,2016-04-14,673000.0,3000.0,690000.0,691000.0,668000.0,89049.0
73,2016-04-15,673000.0,0.0,672000.0,677000.0,668000.0,80228.0
74,2016-04-18,661000.0,12000.0,668000.0,672000.0,657000.0,74941.0
75,2016-04-19,669000.0,8000.0,661000.0,672000.0,661000.0,90281.0
76,2016-04-20,654000.0,15000.0,666000.0,668000.0,651000.0,92783.0
77,2016-04-21,667000.0,13000.0,660000.0,667000.0,656000.0,82414.0
78,2016-04-22,663000.0,4000.0,660000.0,665000.0,657000.0,38974.0
79,2016-04-25,662000.0,1000.0,662000.0,665000.0,655000.0,71124.0
80,2016-04-26,654000.0,8000.0,663000.0,672000.0,649000.0,157920.0
81,2016-04-27,665000.0,11000.0,648000.0,665000.0,640000.0,80668.0
82,2016-04-28,659000.0,6000.0,691000.0,691000.0,646000.0,228211.0
83,2016-04-29,677000.0,18000.0,668000.0,681000.0,666000.0,181733.0
84,2016-05-02,678000.0,1000.0,679000.0,680000.0,667000.0,57779.0
85,2016-05-03,676000.0,2000.0,682000.0,682000.0,675000.0,68780.0
86,2016-05-04,680000.0,4000.0,679000.0,683000.0,670000.0,139450.0
87,2016-05-09,700000.0,20000.0,699000.0,705000.0,687000.0,202321.0
